Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-01-17 00:00:00-05:00,7.25,7.5,6.0,7.5,1125,0.0,0.0
2001-01-18 00:00:00-05:00,7.375,7.75,6.5,6.5,863,0.0,0.0
2001-01-19 00:00:00-05:00,6.5,7.25,6.0,7.25,1313,0.0,0.0
2001-01-22 00:00:00-05:00,7.25,7.5,7.25,7.5,375,0.0,0.0
2001-01-23 00:00:00-05:00,7.25,7.25,6.0,7.0,1663,0.0,0.0
2001-01-24 00:00:00-05:00,7.0,7.0,5.0,5.75,3963,0.0,0.0
2001-01-25 00:00:00-05:00,6.875,7.0,6.5,6.5,363,0.0,0.0
2001-01-26 00:00:00-05:00,6.5,6.5,6.5,6.5,575,0.0,0.0
2001-01-29 00:00:00-05:00,6.5,6.5,6.5,6.5,588,0.0,0.0
2001-01-30 00:00:00-05:00,6.5,6.5,6.5,6.5,0,0.0,0.0
2001-01-31 00:00:00-05:00,6.5,6.75,6.5,6.5,2313,0.0,0.0
2001-02-01 00:00:00-05:00,7.0,7.125,7.0,7.0,475,0.0,0.0
2001-02-02 00:00:00-05:00,6.75,6.75,6.5,6.5,288,0.0,0.0
2001-02-05 00:00:00-05:00,6.25,7.5,6.25,7.5,1700,0.0,0.0
2001-02-06 00:00:00-05:00,7.5,8.0,7.5,7.5,1200,0.0,0.0
2001-02-07 00:00:00-05:00,7.625,7.625,6.75,6.75,1275,0.0,0.0
2001-02-08 00:00:00-05:00,7.75,7.75,6.5,6.5,1413,0.0,0.0
2001-02-09 00:00:00-05:00,7.5,8.0,6.25,6.75,2163,0.0,0.0
2001-02-12 00:00:00-05:00,6.75,6.75,6.0,6.5,1988,0.0,0.0
2001-02-13 00:00:00-05:00,7.0,8.0,6.0,6.5,4725,0.0,0.0
2001-02-14 00:00:00-05:00,6.5,6.75,6.5,6.5,363,0.0,0.0
2001-02-15 00:00:00-05:00,6.25,6.75,6.25,6.75,238,0.0,0.0
2001-02-16 00:00:00-05:00,6.75,6.75,6.75,6.75,138,0.0,0.0
2001-02-20 00:00:00-05:00,6.25,6.5,6.25,6.5,175,0.0,0.0
2001-02-21 00:00:00-05:00,6.25,6.25,6.25,6.25,725,0.0,0.0
2001-02-22 00:00:00-05:00,6.0,6.0,6.0,6.0,225,0.0,0.0
2001-02-23 00:00:00-05:00,6.0,6.0,5.75,5.75,400,0.0,0.0
2001-02-26 00:00:00-05:00,5.75,6.0,5.5,6.0,550,0.0,0.0
2001-02-27 00:00:00-05:00,5.5,6.0,5.25,6.0,350,0.0,0.0
2001-02-28 00:00:00-05:00,5.75,6.0,5.5,5.5,1063,0.0,0.0
2001-03-01 00:00:00-05:00,5.75,5.75,5.5,5.75,213,0.0,0.0
2001-03-02 00:00:00-05:00,5.5,5.75,5.5,5.5,888,0.0,0.0
2001-03-05 00:00:00-05:00,6.0,6.0,5.5,6.0,3350,0.0,0.0
2001-03-06 00:00:00-05:00,6.75,7.0,6.0,6.75,3800,0.0,0.0
2001-03-07 00:00:00-05:00,7.0,7.0,6.75,6.75,250,0.0,0.0
2001-03-08 00:00:00-05:00,6.75,6.75,6.0,6.25,438,0.0,0.0
2001-03-09 00:00:00-05:00,6.25,6.25,6.0,6.0,1263,0.0,0.0
2001-03-12 00:00:00-05:00,6.5,7.0,6.5,7.0,2238,0.0,0.0
2001-03-13 00:00:00-05:00,7.0,7.25,6.75,7.25,563,0.0,0.0
2001-03-14 00:00:00-05:00,7.125,7.5,6.0,6.0,2988,0.0,0.0
2001-03-15 00:00:00-05:00,7.0,7.75,7.0,7.25,2175,0.0,0.0
2001-03-16 00:00:00-05:00,8.0,8.0,7.5,8.0,888,0.0,0.0
2001-03-19 00:00:00-05:00,8.0,8.25,8.0,8.25,675,0.0,0.0
2001-03-20 00:00:00-05:00,8.25,9.25,8.25,9.25,3038,0.0,0.0
2001-03-21 00:00:00-05:00,9.25,9.75,9.0,9.25,2375,0.0,0.0
2001-03-22 00:00:00-05:00,9.0,9.25,8.0,8.75,2725,0.0,0.0
2001-03-23 00:00:00-05:00,8.25,8.75,8.0,8.0,625,0.0,0.0
2001-03-26 00:00:00-05:00,8.75,9.0,8.75,8.75,475,0.0,0.0
2001-03-27 00:00:00-05:00,9.125,9.5,8.75,9.0,1025,0.0,0.0
2001-03-28 00:00:00-05:00,9.0,9.5,8.25,9.25,2438,0.0,0.0
2001-03-29 00:00:00-05:00,9.625,9.75,9.25,9.5,563,0.0,0.0
2001-03-30 00:00:00-05:00,9.25,9.5,9.25,9.25,238,0.0,0.0
2001-04-02 00:00:00-04:00,9.5,10.5,9.25,9.75,1088,0.0,0.0
2001-04-03 00:00:00-04:00,9.75,9.75,7.5,8.25,3038,0.0,0.0
2001-04-04 00:00:00-04:00,8.0,8.0,7.25,7.25,1138,0.0,0.0
2001-04-05 00:00:00-04:00,8.0,8.25,8.0,8.25,1050,0.0,0.0
2001-04-06 00:00:00-04:00,8.25,8.5,8.0,8.25,100,0.0,0.0
2001-04-09 00:00:00-04:00,8.319999694824219,8.319999694824219,7.199999809265137,7.28000020980835,1875,0.0,0.0
2001-04-10 00:00:00-04:00,7.360000133514404,7.360000133514404,7.199999809265137,7.199999809265137,525,0.0,0.0
2001-04-11 00:00:00-04:00,7.199999809265137,7.599999904632568,7.199999809265137,7.599999904632568,338,0.0,0.0
2001-04-12 00:00:00-04:00,7.599999904632568,8.319999694824219,7.599999904632568,8.319999694824219,1413,0.0,0.0
2001-04-16 00:00:00-04:00,8.399999618530273,8.399999618530273,7.760000228881836,7.760000228881836,175,0.0,0.0
2001-04-17 00:00:00-04:00,7.760000228881836,7.760000228881836,7.760000228881836,7.760000228881836,500,0.0,0.0
2001-04-18 00:00:00-04:00,8.399999618530273,9.039999961853027,8.399999618530273,8.880000114440918,1775,0.0,0.0
2001-04-19 00:00:00-04:00,9.199999809265137,9.359999656677246,9.199999809265137,9.199999809265137,225,0.0,0.0
2001-04-20 00:00:00-04:00,9.039999961853027,9.359999656677246,9.039999961853027,9.039999961853027,838,0.0,0.0
2001-04-23 00:00:00-04:00,9.359999656677246,10.319999694824219,8.239999771118164,8.239999771118164,3488,0.0,0.0
2001-04-24 00:00:00-04:00,9.199999809265137,9.199999809265137,8.399999618530273,8.479999542236328,488,0.0,0.0
2001-04-25 00:00:00-04:00,8.399999618530273,8.399999618530273,7.599999904632568,7.760000228881836,888,0.0,0.0
2001-04-26 00:00:00-04:00,7.760000228881836,7.760000228881836,7.599999904632568,7.679999828338623,425,0.0,0.0
